소재지전체주소,도로명전체주소,사업장명,의료기관종별명,의료인수,입원실수,병상수,진료과목내용명
부산광역시 부산진구 양정동 389-27,"부산광역시 부산진구 거제대로36번길 27, 1층(일부), 2~6층, 7층(일부) (양정동)",목화병원,병원,27,31,121,"내과, 소아청소년과, 재활의학과, 가정의학과, 한방내과"
,부산광역시 부산진구 새싹로 186 (연지동),사단법인청색회 연지그린요양병원,요양병원(일반요양병원),17,31,125,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 피부과, 가정의학과, 한방내과"
부산광역시 부산진구 부전동 485번지 9호,"부산광역시 부산진구 가야대로 767, 지상4층 (부전동)",정근안과병원,병원,11,14,30,안과
"부산광역시 연제구  1번지 5호 지하1~7층(1층,7층 일부 제외)",부산광역시 연제구 중앙대로 1175 (거제동),의료법인나라의료재단 드림나라병원,병원,12,49,93,"재활의학과, 한방내과, 한방부인과"
"부산광역시 연제구 연산동 1287번지 16호 주지번 1287-7 3~7층, 12층(일부 면적 제외)","부산광역시 연제구 중앙대로 1083 (연산동, 3~7층, 12층)",위대한탄생여성병원,병원,12,24,45,"내과, 외과, 산부인과, 소아청소년과"
부산광역시 부산진구 부암동 707번지 1호,부산광역시 부산진구 가야대로 729 (부암동),밝은눈안과병원,병원,12,11,30,"내과, 성형외과, 마취통증의학과, 안과, 가정의학과"
부산광역시 부산진구 부전동 112번지 7호,부산광역시 부산진구 동천로107번길 8 (부전동),의료법인 사랑나눔의료재단 에보스요양병원,요양병원(일반요양병원),24,18,73,"내과, 영상의학과, 진단검사의학과"
부산광역시 서구 아미동1가 10,부산광역시 서구 구덕로 179 (아미동1가),부산대학교병원,종합병원,1953,329,1172,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 한방안·이비인후·피부과, 구강악안면외과, 치과보철과, 치주과, 치과보존과, 구강내과"
부산광역시 연제구 연산동 603번지 8호 1층일부 제외,부산광역시 연제구 고분로13번길 15 (연산동),워크재활병원,병원,92,34,202,"내과, 신경과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과"
부산광역시 서구 동대신동3가 1,부산광역시 서구 대신공원로 26 (동대신동3가),동아대학교병원,종합병원,1603,275,997,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과"
,부산광역시 연제구 과정로 222 (연산동),의료법인안심의료재단 안심요양병원,요양병원(일반요양병원),21,31,179,"내과, 신경과, 외과, 정형외과, 피부과, 비뇨의학과, 가정의학과, 한방내과, 침구과"
부산광역시 연제구 거제동 46-4,"부산광역시 연제구 거제대로 295, 8~11층 (거제동)",주성산 이진용맘병원,병원,13,14,40,"내과, 외과"
"부산광역시 연제구 연산동 478번지 8호 4,5층","부산광역시 연제구 과정로 152, 4,5층 (연산동)",연산인제요양병원,요양병원(일반요양병원),16,22,127,"내과, 외과, 정형외과, 가정의학과, 한방내과, 침구과"
,부산광역시 서구 옥천로130번길 38 (아미동2가),(복지)예사랑병원,정신병원,8,33,128,정신건강의학과
부산광역시 연제구 거제동 110-1,부산광역시 연제구 중앙대로 1239 (거제동),동래나눔과행복병원,정신병원,20,33,134,"내과, 정신건강의학과"
부산광역시 서구 부민동1가 31번지,부산광역시 서구 구덕로200번길 8 (부민동1가),선하요양병원,요양병원(일반요양병원),16,35,138,"내과, 산부인과, 가정의학과, 한방부인과, 침구과"
,"부산광역시 연제구 중앙대로 1085, 오오빌딩 (연산동)",오오치과병원,치과병원,5,0,0,"치과보철과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과"
부산광역시 연제구 연산동 1143번지 6호,부산광역시 연제구 월드컵대로 161 (연산동),아시아드 요양병원,요양병원(일반요양병원),34,58,277,"내과, 신경과, 외과, 정형외과, 신경외과, 피부과, 재활의학과, 가정의학과, 한방내과"
,부산광역시 서구 대영로85번길 31 (동대신동2가),이의용밝은길요양병원,요양병원(일반요양병원),19,35,159,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 사상체질과, 침구과"
부산광역시 연제구 거제4동 769-88(지하2층-지상4층),부산광역시 연제구 화지로 107 (거제동),의료법인은정의료재단 호산기독요양병원,요양병원(일반요양병원),18,34,167,"내과, 신경과, 외과, 정형외과, 신경외과, 산부인과, 피부과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
부산광역시 연제구 연산동 702번지 9호,부산광역시 연제구 중앙대로 1078 (연산동),의료법인 노송의료재단 시티요양병원,요양병원(일반요양병원),12,31,151,"내과, 신경과, 재활의학과, 가정의학과, 한방내과, 침구과"
부산광역시 서구 서대신동2가 382,부산광역시 서구 대티로 170 (서대신동2가),삼육부산병원,종합병원,328,97,312,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과"
,부산광역시 연제구 과정로 272 (연산동),한양류마디병원,병원,60,48,200,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과"
,"부산광역시 연제구 중앙대로 1090, 701호 (연산동)",유앤아이치과병원,치과병원,2,0,0,"구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 구강내과"
,부산광역시 연제구 과정로 128 (연산동),연산관자재요양병원,요양병원(일반요양병원),34,62,271,"내과, 외과, 재활의학과, 가정의학과, 한방내과, 침구과"
,"부산광역시 서구 충무대로 246, 101동 2층 203호 (남부민동, 현대타운)",세원요양병원,요양병원(일반요양병원),13,21,119,"내과, 외과, 피부과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
부산광역시 서구 토성동3가 14번지 1호,부산광역시 서구 구덕로 164-7 (토성동3가),BH대학효요양병원,요양병원(일반요양병원),16,35,142,"내과, 이비인후과, 피부과, 가정의학과, 한방내과, 침구과"
,부산광역시 수영구 수영로 456 (남천동),의료법인강혜의료재단남천사랑의요양병원,요양병원(일반요양병원),31,62,228,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 침구과"
"부산광역시 수영구 광안동 473번지 2호 지하1층, 5~8층","부산광역시 수영구 광안로 4, 지하1층,지상5~8층 (광안동, 에스케이뷰상가)",박원욱병원,병원,31,27,100,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과"
,경상남도 통영시 도산면 남해안대로  1820,의료법인통영의료재단통영정신병원,정신병원,18,47,246,정신건강의학과
,경상남도 통영시 무전7길 192 (무전동),새통영병원,종합병원,144,71,227,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 응급의학과"
경상남도 통영시 도산면 도선리 211번지 1호,경상남도 통영시 도산면 남해안대로 1818,의료법인진주의료재단 경상남도립통영노인전문병원,요양병원(일반요양병원),55,64,267,"내과, 신경과, 외과, 정형외과, 가정의학과, 한방내과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과"
경상남도 통영시 북신동 698번지 1호 월드지브이존,"경상남도 통영시 원문로 27, 월드지브이존 3,4,5층 (북신동)",동서양한방병원,한방병원,4,17,51,"내과, 신경과, 정형외과, 신경외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,경상남도 통영시 중앙로 97 (서호동),통영적십자병원,병원,50,19,99,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 피부과, 영상의학과, 진단검사의학과"
,경상남도 통영시 정동2길 58 (정량동),신세계로병원,병원,6,34,99,"성형외과, 마취통증의학과, 한방내과"
,경상남도 통영시 광도면 남해안대로 857,통영서울병원,병원,51,37,165,"내과, 외과, 정형외과, 신경외과, 영상의학과"
경상남도 통영시 무전동 989번지 5호 통영고려병원,"경상남도 통영시 중앙로 310, 통영고려병원 (무전동)",통영고려병원,병원,12,45,149,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
,"경상남도 통영시 중앙로 334-1, 4~9층 (무전동)",서울아동병원,병원,9,34,59,"내과, 소아청소년과, 이비인후과, 피부과, 치과보철과, 치과교정과, 치주과, 치과보존과, 구강내과, 통합치의학과"
,경상남도 통영시 남해안대로 760 (무전동),충무요양병원,요양병원(일반요양병원),30,43,212,"내과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과"
울산광역시 중구 반구동 179번지 7호,울산광역시 중구 서원1길 106 (반구동),의료법인 우아의료재단 길메리요양병원,요양병원(일반요양병원),7,37,153,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 침구과"
,"울산광역시 중구 함월20길 89 (성안동, 위너스자연요양병원)",위너스자연요양병원,요양병원(일반요양병원),10,44,76,"내과, 신경과, 정신건강의학과, 마취통증의학과, 재활의학과, 가정의학과, 한방내과, 침구과"
울산광역시 중구 복산동 63번지 외 1필지,"울산광역시 중구 도화골14길 3, 1-5층 (복산동)",의료법인주보배의료재단 주성혜요양병원,요양병원(일반요양병원),26,54,196,"내과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 침구과"
울산광역시 중구 반구동,울산광역시 중구 내황4길 11 (반구동),의료법인 청남의료재단  세민에스요양병원,요양병원(일반요양병원),62,64,320,"내과, 소아청소년과, 이비인후과, 재활의학과, 한방내과"
울산광역시 중구 남외동 514번지 1호,"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)",의료법인 동강의료재단 동천동강병원,종합병원,214,55,243,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 소아청소년과, 영상의학과, 진단검사의학과, 응급의학과"
울산광역시 중구 학산동 89번지 1호,"울산광역시 중구 번영로 371, 3,6,7,12층 (학산동)",아이윤병원,병원,7,14,30,"내과, 신경과, 소아청소년과, 안과, 이비인후과, 피부과, 가정의학과, 구강내과, 통합치의학과"
,"대구광역시 중구 동덕로 194 (동인동1가, 동화빌딩)",MS재건병원,병원,105,57,201,"내과, 정형외과, 마취통증의학과, 영상의학과, 가정의학과"
대구광역시 남구 대명동 1793-4,"대구광역시 남구 중앙대로 227, 주1(지하1~5)층 ,주2(지하1~3)층호 (대명동)",명덕효요양병원,요양병원(일반요양병원),25,35,174,"내과, 가정의학과, 한방내과, 침구과"
"서울특별시 동대문구 하정로 22(신설동 103-10,11)",서울특별시 동대문구 천호대로 20 (신설동),의료법인마리아의료재단마리아병원,병원,45,10,30,"산부인과, 비뇨의학과"
,"광주광역시 광산구 송촌길 51, 덕임요양병원 (송촌동)",굿모닝요양병원,요양병원(일반요양병원),14,41,181,"마취통증의학과, 산부인과, 한방내과, 침구과"
대전광역시 서구 둔산동 1424번지,"대전광역시 서구 둔산남로 87, 2~6층 (둔산동)",마라톤정형외과병원,병원,24,27,83,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과"
부산광역시 금정구 서동 207번지 8호,부산광역시 금정구 서동로 197-1 (서동),온사랑병원,정신병원,24,62,253,"내과, 정신건강의학과, 가정의학과"
부산광역시 서구 부민동1가 16번지 1호 한웅캠퍼스타워,"부산광역시 서구 구덕로 220, 한웅캠퍼스타워 (부민동1가)",장덕한방병원,한방병원,12,20,63,"정형외과, 한방내과, 한방안·이비인후·피부과, 한방재활의학과, 침구과"
서울특별시 강서구 화곡동 1026번지 12호,"서울특별시 강서구 강서로 206, 2,3,4,5,6층 (화곡동)",서울큰나무병원,병원,44,23,82,"영상의학과, 재활의학과"
,경상남도 김해시 가락로 359 (구산동),강일병원,종합병원,149,59,293,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 구강악안면외과"
부산광역시 중구 중앙동6가 12번지,"부산광역시 중구 중앙대로 26, 5,6,7층 (중앙동6가)",휘림한방병원,한방병원,24,31,90,"내과, 산부인과, 비뇨의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
경기도 성남시 분당구 백현동 535번지 301호,"경기도 성남시 분당구 분당내곡로 117, 알파돔타워Ⅳ 3층 301호 (백현동)",밸런스치과병원,치과병원,6,0,0,"구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 구강내과"
인천광역시 계양구 작전동 136번지 오케이병원 2~7층,"인천광역시 계양구 장제로 676, 오케이병원 2~7층 (작전동)",오케이병원,병원,25,17,63,"내과, 정형외과, 마취통증의학과, 영상의학과"
인천광역시 계양구 계산동 918번지 1호,인천광역시 계양구 경명대로 1107 (계산동),인천하이병원,병원,54,18,72,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 영상의학과, 가정의학과"
인천광역시 계양구 계산동 944번지 30호,인천광역시 계양구 계양대로 204 (계산동),인천마디병원,병원,53,20,74,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과"
,"인천광역시 계양구 계양문화로 20-  (작전동, (작전동))",인천세종병원,종합병원,211,92,307,
,인천광역시 계양구 안남로 538 (효성동),효성요양병원,요양병원(일반요양병원),40,39,199,"산부인과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
전라남도 여수시 미평동 569번지 2호,전라남도 여수시 둔덕2길 6-5 (미평동),청암요양병원,요양병원(일반요양병원),14,56,251,"마취통증의학과, 한방내과"
세종특별자치시 도담동 407번지 세종충남대학교병원,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",세종충남대학교병원,종합병원,819,133,408,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과"
,"경기도 의정부시 시민로 36, 2,3일부,4~6층 (의정부동)",자황한방병원,한방병원,23,22,80,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
전라남도 화순군 화순읍 향청리 3번지,전라남도 화순군 화순읍 중앙로 75,백아한방병원,한방병원,2,19,50,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과"
"경기도 고양시 덕양구 원흥동 638번지 9층 10층, SIB타워","경기도 고양시 덕양구 권율대로 685, SIB타워 9,10층 (원흥동)",원흥아이제일병원,병원,30,34,55,"내과, 소아청소년과, 이비인후과, 피부과, 영상의학과, 병리과, 진단검사의학과, 가정의학과"
,"광주광역시 북구 양일로 78, 2~5층 (양산동)",자향한방병원,한방병원,26,35,68,"내과, 외과, 진단검사의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 구강내과, 통합치의학과"
울산광역시 남구 삼산동 1472-4,"울산광역시 남구 돋질로 277, 지하1층,지상1-8층 (삼산동)",노블레스요양병원,요양병원(일반요양병원),21,47,169,"내과, 신경과, 외과, 정형외과, 재활의학과, 가정의학과, 한방내과, 침구과"
서울특별시 중랑구 망우동 207-2,서울특별시 중랑구 망우로 470 (망우동),러스크서울병원,병원,56,54,200,"신경과, 재활의학과, 한방내과, 사상체질과, 침구과"
"인천광역시 미추홀구 주안동 175-3 효광빌딩 지하1,1,5,6층","인천광역시 미추홀구 미추홀대로 702, 효광빌딩 지하1,1,5,6층 (주안동)",참바른한방병원,한방병원,25,22,83,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"서울특별시 강남구 논현로105길 48, 1,2층 (역삼동)",라이브치과병원,치과병원,6,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 예방치과, 통합치의학과"
경기도 의정부시 의정부동 166-5,"경기도 의정부시 경의로 107, 2~6(일부제외)층 (의정부동)",연세오케이병원,병원,47,19,65,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
전북특별자치도 남원시 사매면 관풍리 665번지 1호,전북특별자치도 남원시 사매면 춘향로 822-129,남원성일병원,정신병원,23,56,252,"내과, 정신건강의학과"
부산광역시 금정구 부곡동 225-61,"부산광역시 금정구 중앙대로1685번길 12, 지하2~6층 (부곡동)",화창한병원,병원,28,39,99,"내과, 외과, 가정의학과"
경기도 양주시 만송동 256-1,경기도 양주시 고삼로 13 (만송동),에스엘서울병원,병원,37,21,61,"내과, 정형외과, 영상의학과"
전북특별자치도 남원시 고죽동 200번지,전북특별자치도 남원시 충정로 365 (고죽동),전북특별자치도 남원의료원,종합병원,148,51,221,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과"
전북특별자치도 남원시 향교동177-2번지,전북특별자치도 남원시 옥정4길 7 (향교동),남원효사랑요양병원,요양병원(일반요양병원),19,38,158,"내과, 신경과, 정신건강의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
전북특별자치도 남원시 산곡동 21번지 3호,전북특별자치도 남원시 산성길 51-15 (산곡동),전북특별자치도 남원노인요양병원,요양병원(일반요양병원),23,37,201,"외과, 산부인과, 재활의학과, 가정의학과, 한방내과"
광주광역시 남구 주월동 1197-2 하나로신경과,"광주광역시 남구 서문대로 822, 하나로신경과 (주월동)",순한방병원,한방병원,8,17,30,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 강북구 미아동 62-38 서울유병원BK빌딩,"서울특별시 강북구 도봉로 77, 지하2층~지하1층, 3층~8층층 (미아동)",서울유병원,병원,39,24,54,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
,"세종특별자치시 대평4길 17, 센트럴테라스 4, 5층 (대평동)",세종경희한방병원,한방병원,12,15,50,"소아청소년과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"서울특별시 송파구 정의로8길 4, KDG70타워 2,3,4층 (문정동)",새숨병원,병원,13,11,30,"내과, 외과, 가정의학과"
경상남도 밀양시 가곡동 613-19,경상남도 밀양시 중앙로 114 (가곡동),밀양우리병원,정신병원,17,56,181,"내과, 정신건강의학과"
"경기도 성남시 중원구 성남동 4940 모란시티 301~308호,501~504호","경기도 성남시 중원구 성남대로 1115, 모란시티 301~308호,501~504호 (성남동)",성남제일한방병원,한방병원,17,18,50,"정형외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
광주광역시 북구 각화동 505-13 광주아주병원,"광주광역시 북구 동문대로 208, 광주아주병원 (각화동)",광주아주병원,병원,39,61,184,"내과, 신경과, 소아청소년과, 영상의학과, 재활의학과, 한방내과, 침구과"
인천광역시 서구 당하동 1079-5 2~3층,"인천광역시 서구 청마로19번길 13, 2~3층 (당하동)",인천탑한방병원,한방병원,8,16,49,"내과, 마취통증의학과, 이비인후과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 서초구 서초동 1426-1,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",기쁨병원,종합병원,127,31,110,"내과, 신경과, 외과, 정형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 영상의학과, 진단검사의학과, 가정의학과, 응급의학과, 통합치의학과"
,"부산광역시 강서구 명지오션시티4로 88, 3~7층 (명지동)",365하하병원,병원,31,16,49,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 침구과"
,광주광역시 동구 구성로 271 (계림동),차병원,병원,5,27,63,"내과, 외과, 이비인후과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방재활의학과, 침구과"
,충청북도 증평군 증평읍 중앙로 114-0,의료법인 여덕의료재단 증평요양병원,요양병원(일반요양병원),5,47,192,"내과, 가정의학과, 한방내과"
인천광역시 계양구 계산동 산 52-27 계산종합의료단지,"인천광역시 계양구 경명대로972번길 9, 계산종합의료단지 A,B동 전체호 (계산동)",서송병원,병원,194,124,472,"내과, 신경과, 마취통증의학과, 소아청소년과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과"
,"경기도 여주시 세종로14번길 18, 여주중앙프라자 2, 6~7층 2층-202, 203, 205호 (창동)",중앙한방병원,한방병원,14,20,57,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"서울특별시 강동구 양재대로 1461, SC MEDI TOWER 6-13층 (길동)",서울프라임한방병원,한방병원,47,54,204,"내과, 정신건강의학과, 신경외과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"울산광역시 남구 수암로 138, 9,11층 (야음동)",자연뜰한방병원,한방병원,9,16,58,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
대구광역시 수성구 범어동 33-16,"대구광역시 수성구 동대구로 353, 10~12층 (범어동)",꽃담한방병원,한방병원,7,13,38,"내과, 마취통증의학과, 피부과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과"
,"서울특별시 노원구 노원로 461, 대감프라자빌딩 3,4,5,6층 (상계동)",그레이스힐 요양병원,요양병원(일반요양병원),40,41,220,"내과, 신경과, 외과, 정형외과, 신경외과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
서울특별시 강서구 마곡동 799-11 파인스퀘어,"서울특별시 강서구 마곡중앙4로 22, 파인스퀘어 3,4층 (마곡동)",보금한방병원,한방병원,16,20,76,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 사상체질과, 침구과"
경상북도 경주시 신평동 150-10,"경상북도 경주시 보문로 465-67, B동 (신평동)",신라미소병원,병원,15,33,78,"내과, 신경과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 사상체질과, 침구과"
인천광역시 서구 석남동 509-2,인천광역시 서구 가정로 270(석남동),서울닥터스요양병원,요양병원(일반요양병원),20,28,131,"내과, 정형외과, 신경외과, 마취통증의학과, 피부과, 가정의학과, 한방내과"
,서울특별시 서대문구 충정로 71-5(충정로2가),서울중앙요양병원,요양병원(일반요양병원),32,40,200,"내과, 외과, 재활의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"경기도 평택시 경기대로 1393, 센트럴파이온 3~5층 (서정동)",사랑한방병원,한방병원,13,15,43,"재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 마포구 아현동 346-5,서울특별시 마포구 신촌로 240 (아현동),위비앙병원,병원,20,18,43,"외과, 마취통증의학과"
,"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",365다시재한방병원,한방병원,19,18,48,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"서울특별시 강남구 압구정로30길 45, 2~4층 (신사동)",두발로병원,병원,31,17,47,"내과, 신경과, 정형외과, 마취통증의학과, 소아청소년과, 영상의학과, 재활의학과"
대구광역시 달서구 상인동 759,"대구광역시 달서구 월배로 247, 지하1층, 지상2,3,4,5층 (상인동)",상인요양병원,요양병원(일반요양병원),17,33,183,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 한방신경정신과, 한방재활의학과, 침구과"
,"경기도 의정부시 천보로 44, 해동타워 3층 (민락동)",의정부쾌척한방병원,한방병원,12,22,45,"신경외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 서초구 서초동 1338-21 코리아비지니스센타,"서울특별시 서초구 강남대로 309, 코리아비지니스센타 3층 (서초동)",유디치과병원,치과병원,2,0,0,"치과보철과, 치주과, 치과보존과, 예방치과"
,"경기도 광명시 철산로 16, 6층 일부,8~11층 (철산동)",광명면력한방병원,한방병원,35,31,99,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"충청북도 청주시 흥덕구 사운로 292-0, 3~5,7층 (운천동)",청주차차한방병원,한방병원,7,24,32,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
충청남도 예산군 예산읍 주교리 109,충청남도 예산군 예산읍 마상길 9,의료법인 모두온의료재단 메디플러스병원,병원,5,35,86,"내과, 정형외과, 영상의학과"
,충청남도 천안시 동남구 터미널3길 5(신부동),천안다나힐병원,병원,15,28,66,"내과, 외과, 신경외과, 소아청소년과, 피부과, 비뇨의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 사상체질과, 침구과"
