충전소이름,이용가능시간,자세한 위치,주차비,등록일자
이마트 태백점,영업시간,이마트 태백점 2층 주차장,없음,2017.9.19 16:25
이마트 동해점,10~22시,지상3층 주차장,무료,2017.9.19 16:25
이마트 충주점,10~23시,4층주차장 우측,부가정보없음,2017.9.19 16:25
홈플러스 대전가오점,홈플러스 영업시간 기준,지하주차장,부가정보없음,2017.9.19 16:25
홈플러스 계룡점,10:00 ~ 24:00,지하주차장,0,2017.9.19 16:25
백두대간 생태교육관,24시간,생태교육장 주차장 화장실 옆,부가정보없음,2017.9.19 16:25
테크노파크,24시간,부가정보없음,부가정보없음,2017.11.17 8:44
송도 그린애비뉴 7단지,24시간,지하2층 703동,부가정보없음,2017.11.17 10:39
동천체육관 주차장,24시간,동천체육관 동편 출구앞,"1시간 무료, 초과시 50%할인",2017.11.29 15:39
벡스코 제2전시장 지하주차장,24시간,지하주차장,1시간 면제,2017.11.29 15:39
동천동주민센터,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
본오도서관 뒤,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
성포안산농협뒤,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
이동읍사무소,24시간,지상주차장,0,2017.11.17 9:29
아르피아주차장,24시간,B1F 34,부가정보없음,2017.11.17 9:29
신봉동주민센터,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
수원종합운동장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
곡반정동제2공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
세류역환승주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
거류체육공원 주차장,24시간,지상주차장,"1시간 무료, 초과시 주차요금의 50%할인",2017.11.17 9:29
교1동주민센터,24시간,주민센터 지상주차장,무료,2017.11.14 18:34
홍제동 공영주차장,24시간,지상 공영주차장,무료,2017.11.14 18:34
주문진해수욕장,24시간,주문진해수욕장 지상주차장,무료,2017.11.14 18:34
용평리조트,24시간,그린변전실 앞 지상주차장,무료,2017.11.14 18:34
강원랜드,24시간,컨밴션 호텔 정문앞,0,2017.11.14 18:34
화개장터 주차장,24시간,1동앞 지상주차장,공영주차장,2017.11.17 9:29
수동공영주차장,24시간,공중화장실 뒤 지상주차장,0,2017.11.17 9:29
2생활권 환승주차장2(B),24시간,지하주차장,15분에 80원(전기차),2017.11.17 9:29
홈플러스 센텀시티점,10:00 ~ 24:00,고객주차장내 4층 B구역,1시간 면제,2017.11.17 9:29
울산병원앞공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
서원구청,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
종암SK아파트,부가정보없음,지하주차장 1층,부가정보없음,2017.11.29 16:53
마곡수명산파크7단지,06~23시,지하1층 좌측 끝,없음,2017.11.29 16:53
양덕삼구트리니엔1차,24시간  ※외부인 개방,지하 1층 B33구역,무료,2017.11.29 16:53
복현명문세가2단지,24시간  ※외부인 개방,203동 지하2층 주차장,부가정보없음,2017.11.29 16:53
도안7단지예미지아파트,24시간,지하주차장,부가정보없음,2017.11.29 16:53
메가센텀꿈에그린아파트,24시간,지하주차장,무료,2017.11.29 16:53
푸른마을10단지,24시간,지하,부가정보없음,2017.11.29 16:53
구월아시아드선수촌6단지,24시간,지하1층 16번기둥 602동옆,부가정보없음,2017.11.29 16:53
리첸시아방배,24시간,B4-06,부가정보없음,2017.11.29 16:53
중계건영3차아파트,24시간  ※외부인 개방,306동 앞 지하1층 B9,부가정보없음,2017.11.29 16:53
매탄주공그린빌2단지,24시간,204동 앞 B2F,0,2017.11.29 16:53
한일써너스빌 아파트,24시간,"지하1층 주차장 102동 1,3라인 앞",부가정보없음,2017.11.29 16:53
목동힐스테이트아파트,06~23시,지하2층 115동 앞,관리사무소,2017.11.29 16:53
금빛마을현대아파트,24시간,103동 지하주차장,무료,2017.11.29 16:53
성대역환승주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
산청실내체육관주차장,24시간,체육관건물 오른쪽 지상주차장,무료,2017.11.17 9:29
둔촌푸르지오아파트,미개방,지하1층 101동 C61 기둥,관리사무소,2017.11.29 16:53
반월역환승,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
합천영상테마파크,24시간,푸드직매장 지상주차장(주소: 용주면 가호리 418),무료,2017.11.17 9:29
신갈동주민센터,09:00-18:00,B2F 19,부가정보없음,2017.11.17 9:29
금촌주공뜨란채4단지,부가정보없음,지하,부가정보없음,2017.12.6 17:29
호평6단지 휴먼시아,24시간  ※외부인 개방,"지하1층 604,605동 방향 전기실",0,2017.12.6 17:29
송산주공6단지,24시간,"601동 주차장 , 출입구 쪽",부가정보없음,2017.12.6 17:29
장암주공5단지,24시간,511동 지하주차장 P4구역,부가정보없음,2017.12.6 17:29
수완진아리채2차아파트,24시간,(실내지하)지하 주차장(B26),무료,2017.12.6 17:29
도램마을16단지,24시간,지하주차장,부가정보없음,2017.12.6 17:29
대자연마을아파트,24시간,입구 우측지하주차장,0,2017.12.6 17:29
양산평산삼한사랑채2차아파트,부가정보없음,지하,부가정보없음,2017.12.6 17:29
새뜸마을3단지,24시간,지하주차장,부가정보없음,2017.12.6 17:29
블루마시티1차 푸르지오,24시간,104동 지하주차장,무료,2017.12.6 17:29
죽동푸르지오아파트,24시간  ※외부인 개방,지하주차장,부가정보없음,2017.12.6 17:29
신정숲속마을아파트,06~23시,지하1층 우측 중간,관리사무소,2017.12.6 17:29
신대부적2차부영아파트,24시간  ※외부인 개방,201동 지하주차장,무료,2017.12.6 17:29
LH이노팰리스아파트,24시간,105동 쪽 지하 주차장(구역 Y 44),0,2017.11.29 16:53
한국교육개발원,평일 09-18,지하1층주차장,무료,2019.1.14 15:38
홍성군청 부설주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
조원주공뉴타운1단지,24시간,105동 지하1층주차장 입구 우측,0,2017.12.15 9:36
장유쌍용예가1차 아파트,24시간  ※외부인 개방,지상주차장(107동 108동 사이),무료,2017.7.4 0:00
성원2차,24시간  ※외부인 개방,"207동,209동 사이 주차장",없음,2017.7.4 0:00
안좌변전소,개방불가,(실외완전노출)안좌변전소 내 주차장,충전시 무료,2016.11.2 0:00
동원우성 빌라트,24시간  ※외부인 개방,지하2층 주차장,0,2017.7.9 0:00
미진참사랑,24시간  ※외부인 개방,관리사무소 앞 지하주차장,0,2017.7.9 0:00
보령지사,주중/주말 : 24시간,사옥 정문을 보고 좌측 건너편 맨 우측 충전기,충전시 무료,2017.2.27 0:00
나주시청,주중/주말 : 24시간,본관 좌측 전기차 전용 주차장,주차비 없음,2017.2.27 0:00
유리의성,주중/주말 : 24시간,주차장 들어가기전 오른쪽,주차비 없음,2017.2.27 0:00
가시리 조랑말체험공원,주중/주말 : 24시간,도로건너 주차장 오른쪽,주차비 없음,2017.2.27 0:00
대전대덕구청 주차장,주중/주말 : 24시간,지상주차장 우측(관리실 후방),주차비 없음,2017.2.27 0:00
건입현대 아파트,24시간,주차장,없음,2017.7.9 0:00
음성체육관,24시간,지상주차장 좌측,부가정보없음,2017.11.17 9:29
노형 대림 아파트,24시간,주차장,0,2017.7.9 0:00
노형해든빌,24시간,주차장,없음,2017.7.9 0:00
도남1차e-편한세상,24시간,주차장,0,2017.7.9 0:00
부주동 행정복지센터,24시간,(실외완전노출)지상주차장,부가정보없음,2017.11.17 9:29
순천만습지 주차장,06~23시,(실외완전노출)주차장 입구 좌측,"충전시 30분 무료, 이후 주차비 발생",2017.11.17 9:29
전라남도 보건환경연구원,24시간,(실외완전노출)주차장 우측 끝부근,0,2017.11.17 9:29
압구정428 공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
배다리서길 공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
경주화백컨벤션센터,24시간,지상주차장,0,2017.11.17 9:29
2생활권 환승주차장1(A),24시간,지하주차장,15분에 80원(전기차),2017.11.17 9:29
구항면사무소 부설주차장,24시간,구항면사무소 주차장 입구,0,2017.11.17 9:29
부산문화회관,09시~24시,주차장,"1시간 무료, 초과시 50%할인",2017.11.17 9:29
삼산동2공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
용산전자상가1 공영주차장,24시간,지상주차장 오른쪽 끝,부가정보없음,2017.11.17 9:29
홈플러스 인천송도점,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
용유동사무소,24시간,용유동사무소 뒷편 테니스장과 건물 사,0,2017.11.17 9:29
봉동읍사무소,24시간,건물 뒤편 주차장,부가정보없음,2017.11.17 9:29
완주군청,24시간,건물 뒤편 주차장 군청 후문 출입구 옆,부가정보없음,2017.11.17 9:29
신재생에너지 테마파크,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
중앙체육공원,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
언북초교 공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
개화역 공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
전주자연생태관,24시간,자연 생태관 주차장,0,2017.11.17 9:29
단양보건소,24시간,입구 우측 지상주차장,부가정보없음,2017.11.17 9:29
군북면사무소,24시간,정문 진입후 지상주차장 내,부가정보없음,2017.11.17 9:29
덕산면사무소,24시간,지상주차장,무료,2017.11.17 9:29
광혜원면사무소,24시간,지상주차장,무료,2017.11.17 9:29
충주종합스포츠타운,24시간,야외주차장,0,2017.11.17 9:29
군서면사무소,24시간,정문 진입 후 좌측 지상주차장 내,부가정보없음,2017.11.17 9:29
하나로마트정천점,부가정보없음,부가정보없음,부가정보없음,2017.11.20 16:00
수암봉,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
안산역환승,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
남서울힐스테이트아파트,24시간,201동 지하1층 우회전 끝,부가정보없음,2017.11.29 16:52
자하곡매표소 주차장,24시간,화장실앞 지상주차장,무료,2017.11.17 9:29
대원효성,24시간,지하1층 주차장 (916동),0,2017.11.29 16:53
동일하이빌2차아파트,24시간,P2주차장 B1F 녹색4,부가정보없음,2017.11.29 16:52
경남아너스빌2차,24시간,B1F,부가정보없음,2017.11.29 16:52
진로이스트타운,24시간,112동 지상주차장,부가정보없음,2017.11.29 16:52
자연앤꿈에그린6단지,24시간,지하2층 주차장 B13,0,2017.11.29 16:53
영종한양수자인아파트,24시간,지하,부가정보없음,2017.11.29 16:53
한아름아파트,24시간,지하주차장,0,2017.11.29 16:53
옥정센트럴파크 푸르지오아파트,24시간,"지하주차장916동B28,913동B14",부가정보없음,2017.11.29 16:53
제주의료원,주중/주말 : 24시간,입구 주차장(기종 충전기 주변),주차비 없음,2017.1.16 0:00
대전충남전력관리처,개방불가,급속충전기 없음,충전시 무료,2017.2.27 0:00
도두동 주민센터,주중/주말 : 24시간,주민센터 맞은편,주차비 없음,2017.2.27 0:00
호남공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.20 16:00
현대성우2단지,24시간,204동 지하1층 주차장,없음,2017.8.12 0:00
현대성우3단지,24시간,304동 지하1층 주차장,없음,2017.8.12 0:00
모아미래도 아파트,24시간,2305동 지하1층 72구역 주차면,0,2017.8.12 0:00
별사랑마을2-2단지,24시간,지하1층 2번 기둥 옆,0,2017.8.12 0:00
신일유토빌 아파트,24시간,3408동 지하2층 c28면 주차면,0,2017.8.12 0:00
양주성우헤스티아,24시간,107동 7-8호 사이 지하주차장 1,부가정보없음,2017.8.12 0:00
산들5단지동문 아파트,24시간,오른쪽 제2주차장,부가정보없음,2017.8.12 0:00
용산역 아이파크몰,주중/주말 : 24시간,4.5F층 달주차장,"급속 1시간 면제 및 1시간 초과 50%할인, 완속 6시간 면제 및 6시간 초과 50% 할인",2016.10.27 0:00
도봉구민회관,주중/주말 : 24시간,구민회관 지상주차장,"충전시 주차비 1시간 면제, 1시간 초과 50%할인",2016.12.29 0:00
현대백화점 천호점,주중/주말 : 24시간,지하5층 주자장 출구방향 오른쪽 ,충전시 1시간면제/초과시50%감면,2017.1.16 0:00
자양2동유수지 공영주차장,주중/주말 : 24시간,공영주차장 후면,"충전시 주차비 1시간 면제, 1시간 초과 50%할인",2017.2.27 0:00
민락동 매립지 공영주차장,24시간,주차장 진입 직후 우측 주차면,충전시 주차비 50%할인,2017.2.27 0:00
사상구청 부설주차장,24시간,주차장 진입후 사상구 보건소 앞쪽 주차면,충전시 주차비 50%할인,2017.2.27 0:00
가납공영주차장,주중/주말 : 24시간,1층주차장(정문에서 우측),충전시 주차비 면제,2017.2.27 0:00
삼아 아파트,24시간  ※외부인 개방,삼아아파트 뒷쪽 주차장,없음,2017.8.12 0:00
제주 교육대학교,24시간,부가정보없음,부가정보없음,2018.2.14 8:58
인천에스케이스카이뷰,미개방,지하2층 110-112동 C02-03,없음,2017.11.29 16:53
오천호반베르디움아파트,24시간,(실내지하)지하주차장 B1 29,무료(입주민우선),2017.11.29 16:53
백마역중앙하이츠빌1아파트,24시간,바로 앞 건물주차장 1층 바로 앞,부가정보없음,2017.11.29 16:53
한라비발디스튜디오422,24시간,지하1층,무료,2017.11.29 16:53
초원아파트,부가정보없음,지하,부가정보없음,2017.11.29 16:53
개신푸르지오아파트,24시간  ※외부인 개방,상가 뒷편 주차장(지상),부가정보없음,2017.11.29 16:53
블루마시티 서희스타힐스 블루원 아파트,24시간,104동 지하1층주차장,무료,2017.11.29 16:53
진건현대아파트,24시간,지상 104동 9~10호라인,0,2017.11.29 16:53
신명스카이뷰,부가정보없음,지하,부가정보없음,2017.11.29 16:53
이문쌍용아파트,24시간,108동 6 지하주차장 1층,부가정보없음,2017.11.30 17:08
동탄역 시범더샵센트럴시티,24시간,"B1F 1403동 3,4라인",0,2017.11.30 17:08
래미안 노블클래스,24시간,110앞 B2F 188,0,2017.7.9 0:00
상계은빛1단지 아파트,24시간,부가정보없음,부가정보없음,2017.7.9 0:00
하나리아벨주상복합,24시간,지하주차장 1층,부가정보없음,2017.8.12 0:00
도남2차e-편한세상,24시간,주차장,부가정보없음,2017.8.12 0:00
일도2차대림 아파트,부가정보없음,주차장,부가정보없음,2017.8.12 0:00
방선문2차빌리지,24시간,주차장,없음,2017.7.9 0:00
옥명대우2차,24시간  ※외부인 개방,관리사무소 옆 지상주차장,0,2017.9.29 15:12
일곡롯데아파트,24시간,(실내지하)주차장105동입구B5,부가정보없음,2017.9.29 15:12
옥동3주공아파트,24시간  ※외부인 개방,"지상주차장(후문 옆, 312-313동 사이)",무료,2017.9.29 15:12
롯데캐슬 스카이클래스,24시간,104동 지하2층주차장,없음,2017.9.29 15:12
복현현대멘션,부가정보없음,부가정보없음,부가정보없음,2017.9.29 15:12
중랑해모로 아파트,24시간,"지하주차장 1층 102동 1,2라인",부가정보없음,2017.7.4 0:00
럭키장성 아파트,24시간  ※외부인 개방,"106동 지하 주차장, 201동 지하주차장",무료,2017.7.4 0:00
탕정농협 하나로마트,24시간,하나로마트 주차장,0,2017.9.19 16:25
쌍문한양6차 아파트,24시간,"지상 주차장(602동 1,2라인 앞)",부가정보없음,2017.7.4 0:00
구리지사(공용),주중/주말 : 06시~23시,1층주차장(정문에서 좌측),충전시 주차비 면제,2016.10.27 0:00
정자역,06시 ~ 23시,부가정보없음,부가정보없음,2016.10.27 0:00
전력연구원,주중/주말 : 06시~23시,본관 뒤편 주차장,충전시 무료,2016.10.27 0:00
동탄2차한화꿈에그린아파트,24시간,지하1층 기계실 앞,부가정보없음,2017.11.29 16:53
타워팰리스 2차,24시간,지하6층,부가정보없음,2017.7.9 0:00
래미안노블클래스2단지,24시간,좌측주차장 205동 앞 B2F O20,0,2017.7.9 0:00
보훈복지타운아파트,24시간  ※외부인 개방,107동 앞 B1F,0,2017.7.9 0:00
원천주공 아파트,24시간,지하,부가정보없음,2017.7.9 0:00
